Computed reward for each iterations     &    depth of the search

00000     0.0000     0
00001     0.7166     0
00002     0.5673     0
00003     0.9115     0
00004     0.7756     0
00005     0.7778     0
00006     0.6667     0
00007     0.6753     0
00008     0.9375     0
00009     0.5749     0
00010     0.9471     0
00011     0.6170     0
00012     0.5385     0
00013     0.6129     0
00014     0.8728     0
00015     0.6420     0
00016     0.5817     0
00017     0.9712     0
00018     0.5337     0
00019     0.4729     0
00020     0.9817     0
00021     0.5382     0
00022     0.8768     0
00023     0.4074     0
00024     0.8830     0
00025     0.5652     0
00026     0.8213     0
00027     0.4444     0
00028     0.5739     0
00029     0.5910     0
00030     0.8832     0
00031     0.6907     0
00032     0.3817     0
00033     0.6355     0
00034     0.9733     0
00035     0.6200     0
00036     0.8101     0
00037     0.4740     0
00038     0.3596     0
00039     0.6010     0
00040     0.4890     0
00041     0.4565     0
00042     0.4026     0
00043     0.7356     0
00044     0.5620     0
00045     0.4283     0
00046     0.7035     0
00047     0.5383     0
00048     0.7701     0
00049     0.5781     0
00050     0.6185     0
00051     0.9469     0
00052     0.9481     0
00053     0.6817     0
00054     0.4672     0
00055     0.7750     0
00056     0.8750     0
00057     0.6071     0
00058     0.8173     0
00059     0.7035     0
00060     0.7746     0
00061     0.5024     0
00062     0.5280     0
00063     0.5903     0
00064     0.7744     0
00065     0.8850     0
00066     0.4800     0
00067     0.4724     0
00068     0.6832     0
00069     0.5271     0
00070     0.4529     0
00071     0.7295     0
00072     0.5974     0
00073     0.5904     0
00074     0.8016     0
00075     0.9754     0
00076     0.5276     0
00077     0.8217     0
00078     0.6410     0
00079     0.9915     0
00080     0.7296     0
00081     0.6138     0
00082     0.6731     0
00083     0.8263     0
00084     0.5550     0
00085     0.6800     0
00086     0.3575     0
00087     0.5233     0
00088     0.8374     0
00089     0.5894     0
00090     0.9883     0
00091     0.9440     0
00092     0.3950     0
00093     0.4767     0
00094     0.4138     0
00095     0.5256     0
00096     0.7028     0
00097     0.4432     0
00098     0.7404     0
00099     0.4583     0
00100     0.5552     0
00101     0.0000     0
00102     0.0000     0
00103     0.0000     0
00104     0.0000     0
00105     0.0000     0
00106     0.0000     0
00107     0.0000     0
00108     0.0000     0
00109     0.0000     0
00110     0.0000     0
00111     0.0000     0
00112     0.0000     0
00113     0.0000     0
00114     0.0000     0
00115     0.8256     1
00116     0.8502     1
00117     0.9038     1
00118     0.9756     1
00119     0.8360     1
00120     0.8446     1
00121     0.9984     1
00122     0.7821     1
00123     0.9391     1
00124     0.7901     1
00125     0.8934     1
00126     0.8494     1
00127     0.9805     1
00128     0.9188     1
00129     0.8880     1
00130     0.9263     1
00131     0.8125     1
00132     0.8653     1
00133     0.8976     1
00134     0.7327     1
00135     0.7923     1
00136     0.8003     1
00137     0.7516     1
00138     0.8205     1
00139     0.8157     1
00140     0.9551     1
00141     0.8878     1
00142     0.8604     1
00143     0.8535     1
00144     0.8977     1
00145     0.9294     1
00146     0.9836     1
00147     0.8035     1
00148     0.8889     1
00149     0.9870     1
00150     0.8295     1
00151     0.8750     1
00152     0.8551     1
00153     0.8013     1
00154     0.7372     1
00155     0.8506     1
00156     0.8247     1
00157     0.8046     1
00158     0.9367     1
00159     0.8815     1
00160     0.7717     1
00161     0.9573     1
00162     0.7388     1
00163     0.8615     1
00164     0.8544     1
00165     0.9056     1
00166     0.7013     1
00167     0.8653     1
00168     0.8576     1
00169     0.9791     1
00170     0.8381     1
00171     0.8631     1
00172     0.8036     1
00173     0.8285     1
00174     0.7767     1
00175     0.7750     1
00176     0.7612     1
00177     0.9056     1
00178     0.7691     1
00179     0.7612     1
00180     0.9967     1
00181     0.7597     1
00182     0.7965     1
00183     0.8650     1
00184     0.8734     1
00185     0.8117     1
00186     0.7262     1
00187     0.9931     1
00188     0.8974     1
00189     0.9704     1
00190     0.8590     1
00191     0.9423     1
00192     0.8983     1
00193     0.9075     1
00194     0.7267     1
00195     0.7488     1
00196     0.8474     1
00197     0.8686     1
00198     0.8750     1
00199     0.9467     1
00200     0.9184     1
00201     0.9491     1
00202     0.7273     1
00203     0.8718     1
00204     0.8328     1
00205     0.8733     1
00206     0.8073     1
00207     0.8846     1
00208     0.9312     1
00209     0.9291     1
00210     0.8325     1
00211     0.9900     1
00212     0.8815     1
00213     0.8283     1
00214     0.9392     1
00215     0.9058     1
00216     0.9936     1
00217     0.8173     1
00218     0.8425     1
00219     0.8542     1
00220     0.8221     1
00221     0.8622     1
00222     0.8229     1
00223     0.8718     1
00224     0.8864     1
00225     0.7668     1
00226     0.9351     1
00227     0.9936     1
00228     0.9760     1
00229     0.7037     1
00230     0.8017     1
00231     0.8551     1
00232     0.8116     1
00233     0.8349     1
00234     0.8425     1
00235     0.9049     1
00236     0.9087     1
00237     0.8990     1
00238     0.8061     1
00239     0.8833     1
00240     0.9066     1
00241     0.8631     1
00242     0.9688     1
00243     0.8867     1
00244     0.8473     1
00245     0.8116     1
00246     0.9253     1
00247     0.8848     1
00248     0.8128     1
00249     0.8896     1
00250     0.8117     1
00251     0.8544     1
00252     0.8038     1
00253     0.7328     1
00254     0.8685     1
00255     0.8506     1
00256     0.9308     1
00257     0.7810     1
00258     0.8782     1
00259     0.9151     1
00260     0.9423     1
00261     0.9920     1
00262     0.8720     1
00263     0.8309     1
00264     0.8221     1
00265     0.6928     1
00266     0.8544     1
00267     0.8961     1
00268     0.8279     1
00269     0.7955     1
00270     0.8229     1
00271     0.9356     1
00272     0.9195     1
00273     0.8637     1
00274     0.8324     1
00275     0.7630     1
00276     0.7794     1
00277     0.8062     1
00278     0.9663     1
00279     0.8183     1
00280     0.9286     1
00281     0.8263     1
00282     0.7005     1
00283     0.8815     1
00284     0.9694     1
00285     0.8857     1
00286     0.7536     1
00287     0.7115     1
00288     0.8277     1
00289     0.9107     1
00290     0.7901     1
00291     0.9350     1
00292     0.7810     1
00293     0.9404     1
00294     0.8486     1
00295     0.9423     1
00296     0.7662     1
00297     0.8285     1
00298     0.7933     1
00299     0.7987     1
00300     0.8272     1
00301     0.7683     1
00302     0.7885     1
00303     0.8571     1
00304     0.8050     1
00305     0.8036     1
00306     0.9179     1
00307     0.7274     1
00308     0.6240     1
00309     0.5684     1
00310     0.5287     1
00311     0.6769     1
00312     0.6299     1
00313     0.5385     1
00314     0.6779     1
00315     0.5130     1
00316     0.7246     1
00317     0.6913     1
00318     0.7581     1
00319     0.5577     1
00320     0.9425     1
00321     0.9424     1
00322     0.8600     1
00323     0.5849     1
00324     0.6840     1
00325     0.5862     1
00326     0.9854     1
00327     0.6554     1
00328     0.7289     1
00329     0.6752     1
00330     0.7225     1
00331     0.6305     1
00332     0.8506     1
00333     0.8862     1
00334     0.8243     1
00335     0.8289     1
00336     0.7386     1
00337     0.7858     1
00338     0.9343     1
00339     0.9188     1
00340     0.9616     1
00341     0.8391     1
00342     0.8391     1
00343     0.8391     1
00344     0.8391     1
00345     0.8391     1
00346     0.8391     1
00347     0.7260     1
00348     0.8391     1
00349     0.8391     1
00350     0.8391     1
00351     0.8391     1
00352     0.8391     1
00353     0.8391     1
00354     0.8391     1
00355     0.8391     1
00356     0.8391     1
00357     0.7963     1
00358     0.8391     1
00359     0.8391     1
00360     0.8391     1
00361     0.8391     1
00362     0.6190     1
00363     0.8391     1
00364     0.8391     1
00365     0.8391     1
00366     0.8391     1
00367     0.8391     1
00368     0.8391     1
00369     0.8391     1
00370     0.8391     1
00371     0.9524     2
00372     0.8517     2
00373     0.8391     1
00374     0.7597     2
00375     0.9356     2
00376     0.8799     2
00377     0.8095     2
00378     0.7697     2
00379     0.8240     2
00380     0.9583     2
00381     0.8496     2
00382     0.8112     2
00383     0.6170     1
00384     0.9952     2
00385     0.8478     2
00386     0.8480     2
00387     0.9694     2
00388     0.8583     2
00389     0.8966     2
00390     0.8141     2
00391     0.8703     2
00392     0.9376     2
00393     0.7971     2
00394     0.8583     2
00395     0.9344     2
00396     0.9513     2
00397     0.8243     2
00398     0.8309     2
00399     0.7898     2
00400     0.8272     2
00401     0.7147     2
00402     0.7580     2
00403     0.8391     1
00404     0.7987     2
00405     0.8610     2
00406     0.8391     1
00407     0.6338     1
00408     0.8391     1
00409     0.8864     2
00410     0.9508     2
00411     0.8510     2
00412     0.8391     1
00413     0.8391     1
00414     0.7078     2
00415     0.8506     2
00416     0.8391     1
00417     0.8846     2
00418     0.8391     1
00419     0.8391     1
00420     0.8205     2
00421     0.7099     2
00422     0.8391     1
00423     0.8077     2
00424     0.8391     1
00425     0.8391     1
00426     0.5936     1
00427     0.7826     2
00428     0.7522     2
00429     0.8391     1
00430     0.8768     2
00431     0.8391     1
00432     0.8391     1
00433     0.8391     1
00434     0.8261     2
00435     0.8116     2
00436     0.8391     1
00437     0.8391     1
00438     0.9136     2
00439     0.8391     1
00440     0.8325     2
00441     0.7808     2
00442     0.8391     1
00443     0.8391     1
00444     0.7901     2
00445     0.8196     2
00446     0.8391     1
00447     0.8391     1
00448     0.8599     2
00449     0.5925     1
00450     0.6715     2
00451     0.8391     1
00452     0.7968     2
00453     0.8391     1
00454     0.8391     1
00455     0.8164     2
00456     0.8391     1
00457     0.8391     1
00458     0.8669     2
00459     0.8391     1
00460     0.8391     1
00461     0.9643     2
00462     0.8115     2
00463     0.7874     2
00464     0.8391     1
00465     0.8808     2
00466     0.8391     1
00467     0.8391     1
00468     0.9817     2
00469     0.8272     2
00470     0.8686     2
00471     0.8391     1
00472     0.8391     1
00473     0.8776     2
00474     0.8391     1
00475     0.6848     2
00476     0.6779     1
00477     0.7472     2
00478     0.8391     1
00479     0.8391     1
00480     0.8391     1
00481     0.8003     2
00482     0.8489     2
00483     0.8391     1
00484     0.8391     1
00485     0.9524     2
00486     0.9173     2
00487     0.8734     2
00488     0.9593     2
00489     0.9519     2
00490     0.9775     2
00491     1.0000     2
00492     0.9935     2
00493     0.9663     2
00494     0.9800     2
00495     0.9098     2
00496     0.9951     2
00497     0.8606     2
00498     0.9838     2
00499     0.9573     2
00500     0.8818     2
00501     0.9233     2
00502     0.9071     2
00503     0.9919     2
00504     0.9328     2
00505     0.9750     2
00506     0.9711     2
00507     0.9018     2
00508     0.9807     2
00509     0.9440     2
00510     0.9356     2
00511     0.9708     2
00512     0.9360     2
00513     0.9903     2
00514     0.8967     2
00515     0.9469     2
00516     0.9542     2
00517     0.8942     2
00518     0.9744     2
00519     0.9535     2
00520     0.9919     2
00521     0.9456     2
00522     0.9439     2
00523     0.9050     2
00524     0.9286     2
00525     0.9840     2
00526     0.9754     2
00527     0.9557     2
00528     0.9672     2
00529     0.9594     2
00530     0.9648     2
00531     0.9324     2
00532     0.9714     2
00533     0.9626     2
00534     0.9760     2
00535     0.9318     2
00536     0.9869     2
00537     0.9472     2
00538     0.9458     2
00539     0.9040     2
00540     0.9497     2
00541     0.9632     2
00542     0.9520     2
00543     0.9696     2
00544     0.9919     2
00545     0.9300     2
00546     0.9549     2
00547     0.9058     2
00548     0.9420     2
00549     0.8157     2
00550     0.9952     2
00551     0.9968     2
00552     0.9936     2
00553     0.9696     2
00554     0.9372     2
00555     0.9221     2
00556     0.9448     2
00557     0.8967     2
00558     0.9450     2
00559     0.9504     2
00560     0.9100     2
00561     0.9439     2
00562     0.9008     2
00563     0.9869     2
00564     0.9184     2
00565     0.9098     2
00566     0.9211     2
00567     0.9517     2
00568     0.8912     2
00569     0.9464     2
00570     0.9627     2
00571     0.9038     2
00572     0.8391     1
00573     0.9646     2
00574     0.9614     2
00575     0.8523     2
00576     0.9327     2
00577     0.9517     2
00578     0.9775     2
00579     0.9088     2
00580     0.5080     1
00581     0.8391     1
00582     0.7915     2
00583     0.9855     2
00584     0.9519     2
00585     1.0000     2
00586     0.9549     2
00587     0.9744     2
00588     0.5877     1
00589     0.6250     1
00590     0.6457     1
00591     0.9760     1
00592     0.9444     1
00593     0.9343     1
00594     0.6409     1
00595     0.6528     1
00596     0.6765     1
00597     0.9792     1
00598     0.6602     1
00599     0.6522     1
00600     0.9789     1
00601     0.5056     1
00602     0.9533     1
