Computed reward for each iterations     &    depth of the search

00000     0.0000     0
00001     0.0000     0
00002     0.9544     2
00003     0.9739     3
00004     0.9739     3
00005     0.9739     3
00006     0.9878     4
00007     0.9878     4
00008     0.9943     3
00009     0.9943     3
00010     0.9943     3
00011     0.9943     3
00012     0.9943     3
00013     0.9943     3
00014     0.9943     3
00015     0.9943     3
00016     0.9943     3
00017     0.9943     3
00018     0.9943     3
00019     0.9943     3
00020     0.9943     3
