
Search Tree T:

Address   Features                             T_F    N_final
 0000000    0000000000000000000000000000000      100000     7
 0000001    0000000000000000000001000000000      1429     16
 0000002    0100000000000000000000000000000      0994     12
 0000003    0010000000000000000000000000000      1909     59
 0000004    0010000000000000000001000000000      0129     4
 0000005    0000000100000000000000000000000      1642     71
 0000006    0000000100000000000010000000000      0155     6
 0000007    0000000001000000000000000000000      0946     7
 0000008    0000000001000000000000000000100      0055     2
 0000009    0000000000000000000000100000000      46483     15651
 0000010    0000000000000000000010100000000      1453     57
 0000011    0000000000000000000000010000000      14579     629
 0000012    0000000000000000001000010000000      0506     17
 0000013    0000000000000010000000000000000      0928     6
 0000014    0000000000000010000001000000000      0071     2
 0000015    0000000000000000010000000000000      1055     13
 0000016    0000000000000000010000000100000      0061     2
 0000017    0000000000000000000000001000000      1201     13
 0000018    0000000000010000000000001000000      0067     2
 0000019    0100000000000000000001000000000      0075     2
 0000020    0000000000000100000000000000000      1098     34
 0000021    0000000000000100100000000000000      0069     2
 0000022    0000000000000001000000000000000      0896     9
 0000023    0000000000000001000000000001000      0079     3
 0000024    1000000000000000000000000000000      2350     85
 0000025    1000000000000000000100000000000      0106     3
 0000026    1000000100000000000000000000000      0140     5
 0000027    0000000000100000000000000000000      1400     25
 0000028    0000000000100000000000000100000      0073     2
 0000029    0000000000000000000100000000000      0861     7
 0000030    0010000000000000000000001000000      0119     4
 0000031    0000010000000000000000000000000      1164     21
 0000032    0000010000000000010000000000000      0072     2
 0000033    0000000000000100000000010000000      0493     17
 0000034    0000000000000000001000000000000      1064     7
 0000035    0000000000001000001000000000000      0071     2
 0000036    0000000100000100000000000000000      0078     2
 0000037    0000000000000000000000000001000      1563     71
 0000038    0000000000001000000000000001000      0089     3
 0000039    0000000000000000100000000000000      1031     12
 0000040    0000000000000000100000000000000      0014     1
 0000041    0000100000000000000000000000000      1029     11
 0000042    0000101000000000000000000000000      0092     3
 0000043    0000000010000000000000000000000      0906     10
 0000044    0000000010000000010000000000000      0065     2
 0000045    0000000001000000010000000000000      0073     2
 0000046    0000000000010000000000000000000      1091     6
 0000047    0000010000010000000000000000000      0071     2
 0000048    1000000000000000000001000000000      0140     5
 0000049    0001000000000000000000000000000      3265     86
 0000050    0001000001000000000000000000000      0155     5
 0000051    0001000000000000000000100000000      1778     69
 0000052    0000000000000000000000000000100      0818     10
 0000053    0000000000000000000000000010100      0079     2
 0000054    0000000000000000000010000000000      3384     185
 0000055    0000010000000000000010000000000      0153     6
 0000056    0000000000001000000100000000000      0065     2
 0000057    0000000000000000000000000100000      1097     22
 0000058    0000000100000000000000000100000      0084     3
 0000059    0000000001000000000000000100000      0063     2
 0000060    0000000000000000000000000000010      1089     10
 0000061    0000000000000000010000000000010      0070     2
 0000062    0000000001000001000000000000000      0046     2
 0000063    0000000000000000000000000010000      1788     50
 0000064    0010000000000000000000000010000      0115     4
 0000065    0000000000000000000000100010000      1177     49
 0000066    0000001000000000000000000000000      1690     58
 0000067    0100001000000000000000000000000      0078     2
 0000068    0000000000100000000000010000000      0528     19
 0000069    0000000000001000000000000000000      1161     24
 0000070    0000000000001000000000000000000      0014     1
 0000071    0000000000000001000000010000000      0480     17
 0000072    0000000000000000000000000000000      0081     2
 0000073    0000000010000000000000000000000      0013     1
 0000074    0000000000000000000000010000010      0520     18
 0000075    0000000000001100000000010000000      0033     2
 0000076    0000010000000000000000010000000      0532     19
 0000077    0000000010000000000000010000000      0497     18
 0000078    0000000000000000000010010000000      0707     23
 0000079    0000000000000000000000110000000      1946     70
 0000080    0000000000000000000000010000100      0480     17
 0000081    0000000000000000000000010001000      0550     19
 0000082    0000000000000010000000010000000      0526     18
 0000083    0100000000000000000000010000000      0532     20
 0000084    0000000000000100000000000010000      0093     3
 0000085    0001000000000100000000000000000      0149     5
 0000086    0000000000000000000000010100000      0501     17
 0000087    0000000000000000010000010000000      0478     16
 0000088    0000000000000000000100010000000      0516     18
 0000089    0000001000000000000000010000000      0525     19
 0000090    0000000000000000000001010000000      0678     26
 0000091    0000001000000000010000010000000      0038     2
 0000092    0000000100000000000000010000000      0523     19
 0000093    0000000000100100000000000000000      0080     2
 0000094    0000000000010000000000010000000      0497     17
 0000095    0000000000000101000000000000000      0059     2
 0000096    0000000000000100000000000000010      0071     2
 0000097    0000000000000100010000000000000      0072     2
 0000098    0000000000000000000000011000000      0520     19
 0000099    0010000000000000000000010000000      0581     21
 0000100    0000010000000100000000000000000      0077     2
 0000101    0000100000000000001000010000000      0036     2
 0000102    0000100000000000000000010000000      0490     17
 0000103    0000000000000000010010000000000      0152     5
 0000104    0000000000000000000000101000000      1064     46
 0000105    0000000000000000100000010000000      0544     19
 0000106    0000000000000000000000001000100      0066     2
 0000107    0000000000000010000000001000000      0058     2
 0000108    0000000010000100000000000000000      0055     2
 0000109    0000000000000000000000010000000      0078     3
 0000110    0000000000000000010000000001000      0095     4
 0000111    0000000001000000000000010100000      0033     2
 0000112    0000100000000000000000100010000      0077     3
 0000113    1000000000000000000000010000000      0619     21
 0000114    0000000001010000010000000000000      0007     1
 0000115    0000000000000000010000011000000      0031     2
 0000116    0000000000100100000000100000000      0071     3
 0000117    0000000100000000100000010000000      0038     2
 0000118    0000001000000000010000000000000      0091     3
 0000119    0000000000000100010000010000000      0030     2
 0000120    0010000000010000000000010000000      0043     2
 0000121    0000000000010000010000000000000      0063     1
 0000122    0000000000000000010100000000000      0061     2
 0000123    0000000000000000100000011000000      0036     2
 0000124    0000000001000000000000010000000      0452     16
 0000125    1000000000000000000000010000010      0038     2
 0000126    0000000000000000011000000000000      0058     2
 0000127    0000000001000000000000101000000      0070     3
 0000128    0000000000000000010001000000000      0081     2
 0000129    0000100000000000010000000000000      0063     2
 0000130    0001000000000000001000100000000      0091     3
 0000131    0000000000001000000000010000000      0479     17
 0000132    0100000000000000010000000000000      0059     2
 0000133    0000000110000100000000000000000      0007     1
 0000134    0000000000000000110000000000000      0067     2
 0000135    0000000000000000010100000100000      0007     0
 0000136    0000000000000000011000000001000      0008     1
 0000137    0000000100000000010000000000000      0076     3
 0000138    1000000000000000000000010001000      0042     2
 0000139    0000001000000101000000000000000      0006     2
 0000140    0000000000000000010000001000000      0072     2
 0000141    0000001000000000000010010000000      0044     2
 0000142    0000000000010000010010000000000      0013     2
 0000143    0000000000000000000010010000100      0047     2
 0000144    0000100000000000010100000000000      0004     1
 0000145    0000000000001000010000001000000      0007     2
 0000146    0100000000000000000010010000000      0048     2
 0000147    0000011000000000000010000000000      0014     2
 0000148    0000000000000000010010010000000      0048     2
 0000149    0000000000000000000000010010000      0602     20
 0000150    0000000000000000011001000000000      0007     1
 0000151    0000000000000010000010010000000      0047     2
 0000152    0001000000000000000000010000000      0719     26
 0000153    0010000000000000010000000000000      0091     3
 0000154    0000000000001000000010000000000      0152     5
 0000155    0100000000000100010000000000000      0007     2
 0000156    0000000000000000110000000100000      0007     1
 0000157    0000000000000000010000010100000      0035     2
 0000158    0000000000000000000010000000000      0026     2
 0000159    0000000101000000000000010000000      0034     2
 0000160    0000000010000000000000001000000      0068     2
 0000161    0000000000000000000010000000010      0153     6
 0000162    0000000000000000000000001001000      0100     4
 0000163    0000000000010000000000001000010      0007     1
 0000164    0000000100000000010000010000000      0036     2
 0000165    1000010000000000000000000000000      0107     4
 0000166    0000001000000000000000001000000      0092     3
 0000167    0000000000000000000100001000000      0058     2
 0000168    0000010000000000000010010000000      0048     2
 0000169    0000000100000100000000000010000      0008     2
 0000170    0000000100100000000000000000000      0101     3
 0000171    0000000100000000000000100000000      1031     45
 0000172    0000000000000000000010001000000      0168     6
 0000173    0000100000000100000000010000000      0032     2
 0000174    0000000000000100000000010010000      0041     2
 0000175    0000000000000001000000001000000      0067     2
 0000176    0000001000000100000000010010000      0004     0
 0000177    0010000000000000000000011000000      0042     2
 0000178    0000000100000010000000000000000      0084     3
 0000179    0000000000000000001000001000000      0065     2
 0000180    0100000000000000000001010000000      0045     3
 0000181    0000000000000000100000001000000      0075     2
 0000182    0100000000000000000000001000000      0072     2
 0000183    0000000100000000000000000000100      0073     3
 0000184    0000001000000000000000001001000      0007     2
 0000185    0000000001000000000000000010000      0095     3
 0000186    0000010000000000000000001000000      0080     2
 0000187    0000000000010000000010010000000      0047     3
 0000188    0000001000000010000000001000000      0007     2
 0000189    0000000100000000000000001000000      0089     3
 0000190    0000000100000000000100010000000      0035     2
 0000191    0000000000100000000000010100000      0037     2
 0000192    0000000000000000000000001010000      0099     3
 0000193    0000000000000000000010001010000      0015     2
 0000194    0001000000000000000010010000000      0056     3
 0000195    0000000000000101010000000000000      0005     0
 0000196    0000000000000000000010010010000      0051     2
 0000197    0000100000000000000000000010000      0090     3
 0000198    0000000100000010000000001000000      0007     2
 0000199    0000000000000000000000000110000      0108     3
 0000200    0000000000010000000010001010000      0005     0
 0000201    0000000000000000000001000010000      0115     4
 0000202    0000000000100000001000001000000      0008     1
 0000203    0000000000000000010000000010000      0089     3
 0000204    1000010000000000000000001000000      0010     2
 0000205    0000000000010000000000000010000      0104     3
 0000206    0101000000000000000000001000000      0013     2
 0000207    1000010000000000000000000000000      0003     0
 0000208    0000000100010000000000001000000      0009     1
 0000209    0000001000000000000000000010000      0122     4
 0000210    0000000000000000000000000011000      0103     4
 0000211    0000000000100000000000000010000      0112     4
 0000212    0000000000000000000000011010000      0041     2
 0000213    0001000000000000000000000010000      0176     5
 0000214    0100000000000000000000010000000      0012     2
 0000215    0000000000000000100000001010000      0009     2
 0000216    0010000000000000000000001010000      0010     2
 0000217    0000000000000000000010000010000      0186     7
 0000218    0000000000000100000000000110000      0008     2
 0000219    0000000000000000011000000010000      0007     2
 0000220    0001100000000000000000000010000      0013     2
 0000221    0000000010000000000001010000000      0041     2
 0000222    0000000000000010000000000010000      0095     3
 0000223    0000000000000000000000001010100      0007     1
 0000224    0000000000001000000000000010000      0107     4
 0000225    0000000000000000001000000010000      0101     3
 0000226    0000000000000000000010110000000      0138     5
 0000227    0000010000000000000000000010000      0097     3
 0000228    0100000000000000000000000010000      0096     3
 0000229    0000000000000000000100000010000      0082     3
 0000230    1000000001000000000000000010000      0011     2
 0000231    0000001010000000000000000010000      0010     2
 0000232    0000000000000000000000000011010      0008     2
 0000233    0000000000001000000010000010000      0016     2
 0000234    0000000000000000000010110010000      0012     2
 0000235    0000000000000001000000010010000      0039     2
 0000236    0000000000000000000010011010000      0008     2
 0000237    0000000000000000000010011000000      0050     2
 0000238    0000000100000000000000000010000      0113     4
 0000239    0000000000000000000001000110000      0008     2
 0000240    0000000010000000000010000000000      0131     5
 0000241    0000000000000000000000001100000      0069     2
 0000242    0000000000010000000000011000000      0038     2
 0000243    0001000000000000000000000010010      0013     2
 0000244    0000000000000010000010000010000      0012     2
 0000245    0000000000000100010010000000000      0012     2
 0000246    0000000000001000000000000011000      0009     2
 0000247    0000100000000000000000001000000      0074     2
 0000248    0000000000000000100000000010000      0097     3
 0000249    0000000000000000000000110010000      0125     4
 0000250    0000000000000000000010000000100      0143     5
 0000251    0100000000000000000100000010000      0007     2
 0000252    0000000000000000000000001000010      0076     2
 0000253    0000000001000000000000001000000      0072     2
 0000254    0000000000000000001000011000000      0037     2
 0000255    0000000100000100000010000000000      0009     2
 0000256    0000001000000000000010000000000      0153     6
 0000257    0000000000000001000010011000000      0007     1
 0000258    0000000100101000000000000000000      0009     2
 0000259    0000000100000000000010001000000      0015     2
 0000260    0000000100000010000000000010000      0009     1
 0000261    0000000000000100000010000010000      0014     2
 0000262    0000000000100000000100001000000      0007     2
 0000263    0100000010000000000010000000000      0009     2
 0000264    0000000000010000000010000000000      0152     6
 0000265    1000000001000000000000000100000      0010     2
 0000266    0000000000000010000010000000000      0142     5
 0000267    0000000000000000000001001000000      0081     2
 0000268    0000000000000000000010000001000      0159     6
 0000269    0001000000000000000000001000000      0151     5
 0000270    0000000010000000010000011000000      0005     1
 0000271    0000100000000000000000101000000      0067     2
 0000272    0010000000000000000000010010000      0044     2
 0000273    0000000000001000000000001000000      0072     2
 0000274    0000000000000000000000001000000      0014     1
