
==========================================================================================================================================================
=====================================================   FEATURE SELECTION   -   SIMULATION RESULTS   =====================================================
==========================================================================================================================================================

Parameters: 
   f = number of features,
   n = number of example in the training set,
   Nt = number of iteration in the simulation,
   t = computation time [in s],
   Tree = size of the tree at the end of computation
   reward = computed reward for the last 1000 iteration,
   depth = computed depth search for the last 1000 iterations,
   N_final = number of time best node has been chosen final,

   --> For the other parameters, please refer to the implementation details.


==========================================================================================================================================================
|| ---- Main parameters ---- ||  -------------  Simulation results   ------------- || --------------  Other parameters of the simulation -------------- ||
==========================================================================================================================================================
f        n          Nt          t[s]     Tree        reward     depth       N_final     q        k      r      ce       cl            MA    b        c
0020     000200     0100000     0039     0000332     0.9884     03.2840     0017490     0.98     05     06     2.00     200000.00     0     0.20     20.00
0020     000200     0100000     0039     0000360     0.9754     03.2760     0000183     0.98     05     06     2.00     020000.00     0     0.20     20.00
0020     000200     0100000     0039     0000245     0.9899     03.0850     0032680     0.98     05     06     2.00     002000.00     0     0.20     20.00
0020     000200     0100000     0041     0000256     0.9777     02.8130     0031180     0.98     05     06     2.00     000200.00     0     0.20     20.00
0020     000200     0100000     0041     0000250     0.9908     03.0440     0015049     0.98     05     06     2.00     000020.00     0     0.20     20.00
0020     000200     0100000     0040     0000246     0.9819     05.4640     0027189     0.98     05     06     2.00     000002.00     0     0.20     20.00
0020     000200     0100000     0039     0000356     0.9894     03.4210     0024035     0.98     05     06     2.00     000000.20     0     0.20     20.00
0020     000200     0400000     0163     0000616     0.9907     03.0000     0242348     0.98     05     06     2.00     001000.00     0     0.20     20.00
0010     000200     0010000     0003     0000059     0.9585     04.5960     0000196     0.98     05     06     2.00     001000.00     0     0.20     20.00
0501     002000     0001000     0400     0000036     0.6570     05.1990     0000000     0.98     05     06     2.00     001000.00     0     0.20     20.00
0010     000200     0010000     0002     0000059     0.9585     04.5960     0000196     0.98     05     06     2.00     001000.00     0     0.20     20.00
0010     000200     0010000     0003     0000086     0.9687     04.7180     0000250     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0010000     0017     0000056     0.9475     04.1290     0000238     0.98     05     01     2.00     001000.00     0     0.20     20.00
0015     000200     0010000     0004     0000066     0.9799     03.0600     0000160     0.98     05     04     2.00     001000.00     0     0.20     20.00
0015     000200     0100000     0031     0000217     0.9849     02.0870     0042987     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0160000     0050     0000301     0.5027     00.0000     0049706     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0160000     0053     0000343     0.9803     03.5930     0033025     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0100000     0032     0000226     0.9863     03.8740     0000153     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0200000     0065     0000370     0.9833     03.1870     0066311     0.98     05     06     2.00     001000.00     0     0.20     20.00
0500     000200     0200000     0974     0003319     0.9912     04.0000     0000411     0.98     05     06     2.00     001000.00     0     0.20     20.00
0500     000200     0300000     1368     0003578     0.9918     04.4920     0029852     0.98     05     06     2.00     001000.00     0     0.20     20.00
0500     000400     0300000     2382     0002848     0.9920     03.0000     0098487     0.98     05     15     2.00     001000.00     0     0.20     20.00
0015     000200     0100000     0037     0000226     0.9863     03.8740     0000153     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0200000     0075     0000370     0.9833     03.1870     0066311     0.98     05     06     2.00     001000.00     0     0.20     20.00
0015     000200     0200000     0134     0000396     0.9714     02.9690     0054556     0.98     05     06     2.00     001000.00     0     0.20     20.00
0016     000200     0200000     0140     0000433     0.9745     05.4900     0034574     0.98     05     06     2.00     001000.00     0     0.20     20.00
0016     000200     0300000     0220     0000612     0.9869     03.1240     0083495     0.98     05     06     2.00     001000.00     0     0.20     20.00
